#T,E,G,success rate 
240,32,0.25,0.3
240,64,0.05,0.4
240,64,0.1,0.3
240,64,0.15,0.1
240,64,0.2,0.2
240,64,0.25,0.4
240,128,0.05,0.1
240,128,0.1,0.3
240,128,0.15,0.1
240,128,0.2,0.1
240,128,0.25,0.6
240,256,0.05,0.2
240,256,0.1,0.0
240,256,0.15,0.1
240,256,0.2,0.3
240,256,0.25,0.1
250,1,0.05,0.0
250,1,0.1,0.0
250,1,0.15,0.0
250,1,0.2,0.0
250,1,0.25,0.0
250,2,0.05,0.0
250,2,0.1,0.0
250,2,0.15,0.0
250,2,0.2,0.1
250,2,0.25,0.1
250,4,0.05,0.0
250,4,0.1,0.1
250,4,0.15,0.0
250,4,0.2,0.1
250,4,0.25,0.1
250,8,0.05,0.0
250,8,0.1,0.0
250,8,0.15,0.2
250,8,0.2,0.1
250,8,0.25,0.1
250,16,0.05,0.0
250,16,0.1,0.0
250,16,0.15,0.2
250,16,0.2,0.0
250,16,0.25,0.1
250,32,0.05,0.1
250,32,0.1,0.1
250,32,0.15,0.0
250,32,0.2,0.2
250,32,0.25,0.2
250,64,0.05,0.1
250,64,0.1,0.1
250,64,0.15,0.3
250,64,0.2,0.1
250,64,0.25,0.3
250,128,0.05,0.3
250,128,0.1,0.2
250,128,0.15,0.1
250,128,0.2,0.1
250,128,0.25,0.1
250,256,0.05,0.2
250,256,0.1,0.2
250,256,0.15,0.1
250,256,0.2,0.4
250,256,0.25,0.1
260,1,0.05,0.0
260,1,0.1,0.0
260,1,0.15,0.0
260,1,0.2,0.0
260,1,0.25,0.0
260,2,0.05,0.0
260,2,0.1,0.0
260,2,0.15,0.0
260,2,0.2,0.0
260,2,0.25,0.1
260,4,0.05,0.0
260,4,0.1,0.0
260,4,0.15,0.0
260,4,0.2,0.0
260,4,0.25,0.0
260,8,0.05,0.0
260,8,0.1,0.0
260,8,0.15,0.1
260,8,0.2,0.0
260,8,0.25,0.1
260,16,0.05,0.0
260,16,0.1,0.0
260,16,0.15,0.2
260,16,0.2,0.1
260,16,0.25,0.1
260,32,0.05,0.1
260,32,0.1,0.1
260,32,0.15,0.1
260,32,0.2,0.1
260,32,0.25,0.2
260,64,0.05,0.2
260,64,0.1,0.3
260,64,0.15,0.3
260,64,0.2,0.2
260,64,0.25,0.1
260,128,0.05,0.2
260,128,0.1,0.0
